,YEAR,MO,DY,HR,WS50M,ALLSKY_SFC_SW_DWN,T2M,Season,Load,Price
92,2022,6,5,20,4.97,0.0,18.35,Summer,1694,0.2
93,2022,6,5,21,6.18,0.0,18.06,Summer,1559,0.15
94,2022,6,5,22,6.44,0.0,17.76,Summer,1479,0.15
95,2022,6,5,23,6.09,0.0,17.37,Summer,1384,0.05
96,2022,6,6,0,5.91,0.0,17.0,Summer,1109,0.05
97,2022,6,6,1,6.55,0.0,16.78,Summer,1170,0.05
98,2022,6,6,2,7.07,0.0,16.74,Summer,1164,0.05
99,2022,6,6,3,6.99,0.0,16.55,Summer,1139,0.05
100,2022,6,6,4,6.46,16.8,16.48,Summer,1136,0.05
101,2022,6,6,5,5.53,44.78,16.85,Summer,1167,0.05
102,2022,6,6,6,4.83,107.12,17.45,Summer,1173,0.05
103,2022,6,6,7,4.95,244.83,18.43,Summer,1449,0.15
104,2022,6,6,8,5.29,343.12,19.5,Summer,1798,0.15
105,2022,6,6,9,5.66,415.2,20.4,Summer,1881,0.15
106,2022,6,6,10,6.65,527.09,20.54,Summer,1869,0.2
107,2022,6,6,11,7.75,878.91,20.57,Summer,2052,0.2
108,2022,6,6,12,8.45,922.95,21.1,Summer,1884,0.2
109,2022,6,6,13,8.66,838.19,21.55,Summer,1875,0.2
110,2022,6,6,14,8.69,587.84,21.52,Summer,1887,0.2
111,2022,6,6,15,8.67,469.12,21.04,Summer,1887,0.15
112,2022,6,6,16,8.64,260.66,20.12,Summer,1881,0.15
113,2022,6,6,17,8.63,126.02,18.8,Summer,1771,0.15
114,2022,6,6,18,8.26,25.66,17.07,Summer,1856,0.2
115,2022,6,6,19,7.89,0.0,15.66,Summer,1866,0.2
116,2022,6,6,20,7.77,0.0,14.94,Summer,1694,0.2
117,2022,6,6,21,7.61,0.0,14.3,Summer,1559,0.15
118,2022,6,6,22,7.5,0.0,13.72,Summer,1479,0.15
119,2022,6,6,23,7.52,0.0,13.26,Summer,1384,0.05
120,2022,6,7,0,7.63,0.0,12.92,Summer,1109,0.05
121,2022,6,7,1,7.67,0.0,12.65,Summer,1170,0.05
122,2022,6,7,2,7.54,0.0,12.46,Summer,1164,0.05
123,2022,6,7,3,7.32,0.0,12.47,Summer,1139,0.05
124,2022,6,7,4,7.11,19.03,12.6,Summer,1136,0.05
125,2022,6,7,5,6.85,114.05,13.79,Summer,1167,0.05
126,2022,6,7,6,7.46,233.71,15.75,Summer,1173,0.05
127,2022,6,7,7,6.67,390.39,17.58,Summer,1449,0.15
128,2022,6,7,8,5.48,579.52,19.28,Summer,1798,0.15
