YEAR,MO,DY,HR,WS10M,T2M,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,WS50M
2022,6,6,17,7.14,18.8,168.77,126.02,8.63
2022,6,6,18,6.28,17.07,23.4,25.66,8.26
2022,6,6,19,5.52,15.66,0,0,7.89
2022,6,6,20,5.39,14.94,0,0,7.77
2022,6,6,21,5.21,14.3,0,0,7.61
2022,6,6,22,5.07,13.72,0,0,7.5
2022,6,6,23,5.08,13.26,0,0,7.52
2022,6,7,0,5.19,12.92,0,0,7.63
2022,6,7,1,5.2,12.65,0,0,7.67
2022,6,7,2,5.14,12.46,0,0,7.54
2022,6,7,3,5.11,12.47,0,0,7.32
2022,6,7,4,5.05,12.6,15.42,19.03,7.11
2022,6,7,5,5.76,13.79,131.62,114.05,6.85
2022,6,7,6,6.41,15.75,306.9,233.71,7.46
2022,6,7,7,5.95,17.58,491.27,390.39,6.67
2022,6,7,8,4.94,19.28,660.12,579.52,5.48
2022,6,7,9,3.84,20.61,798.33,634.16,4.35
2022,6,7,10,2.9,21.48,888,690.78,3.39
2022,6,7,11,2.28,22.04,978.73,697.64,2.61
2022,6,7,12,1.91,22.21,949.27,768.32,2.16
2022,6,7,13,1.82,21.98,864,547.91,2.08
2022,6,7,14,1.76,21.74,728.12,535.15,2.07
2022,6,7,15,1.83,21.42,552.85,390.38,2.19
2022,6,7,16,2.06,21.05,353.98,246.84,2.52
2022,6,7,17,2.25,20.42,159.15,118.4,3.14
2022,6,7,18,2.25,18.92,21.67,23.88,3.89
2022,6,7,19,2.67,17.65,0,0,4.88
2022,6,7,20,3.3,16.94,0,0,5.92
2022,6,7,21,4.05,16.25,0,0,6.84
2022,6,7,22,4.57,15.48,0,0,7.35
2022,6,7,23,4.62,14.86,0,0,7.37
2022,6,8,0,4.38,14.47,0,0,7
2022,6,8,1,4.03,14.08,0,0,6.56
2022,6,8,2,3.75,13.61,0,0,6.22
2022,6,8,3,3.63,13.08,0,0,5.95
2022,6,8,4,3.55,12.94,11.42,14.11,5.62
2022,6,8,5,4.44,14.43,88.6,78.99,5.1
2022,6,8,6,4.1,16.36,217.08,206.8,4.46
2022,6,8,7,3.48,18.2,380.95,358.65,3.73
2022,6,8,8,2.91,19.87,554.12,515.78,3.15
2022,6,8,9,2.25,21.22,746.48,524.45,2.56
2022,6,8,10,1.88,22.13,863.27,664.13,2.18
2022,6,8,11,1.63,22.71,940.33,804.73,1.86
2022,6,8,12,1.92,23.15,915.58,844.18,2.02
2022,6,8,13,2.73,22.88,831.92,722.16,2.95
2022,6,8,14,2.47,22.49,695.83,618.52,2.65
2022,6,8,15,2.1,22.43,520.02,478.27,2.22
2022,6,8,16,1.8,22.02,324.58,299.17,1.95
2022,6,8,17,1.57,21.43,141.12,124.41,1.86
2022,6,8,18,1.69,19.9,20.35,21.35,2.48
2022,6,8,19,1.89,18.54,0,0,2.94
2022,6,8,20,2.02,17.8,0,0,3.03
2022,6,8,21,1.98,17.24,0,0,2.89
2022,6,8,22,1.44,17.05,0,0,1.99
2022,6,8,23,0.31,17.26,0,0,0.41
2022,6,9,0,1.12,16.83,0,0,1.49
2022,6,9,1,2.07,16.06,0,0,2.95
2022,6,9,2,2.53,15.63,0,0,3.87
2022,6,9,3,2.85,15.44,0,0,4.61
2022,6,9,4,3.58,15.44,13.6,11.69,5.4
2022,6,9,5,4.6,15.6,110.33,54.73,5.57
2022,6,9,6,4.17,16.12,268.2,132.41,4.8
2022,6,9,7,3.44,17.09,444.2,234.84,4.03
2022,6,9,8,2.04,17.53,615.95,429.85,2.4
2022,6,9,9,1.36,18.4,758.5,587.98,1.67
2022,6,9,10,1.35,20.02,851.98,478.13,1.76
2022,6,9,11,1.77,21.63,883.48,507.85,2.21
2022,6,9,12,2.46,22.54,865.65,624.4,2.96
2022,6,9,13,2.74,22.77,789.98,654.66,3.22
2022,6,9,14,2.63,22.86,666.02,505.98,3.05
2022,6,9,15,2.54,22.94,503.55,370.12,2.91
2022,6,9,16,2.35,22.56,322.02,257.83,2.74
2022,6,9,17,1.84,21.86,146.17,102.9,2.34
2022,6,9,18,1.48,20.41,21.58,20,2.16
2022,6,9,19,1.26,19.54,0,0,1.89
2022,6,9,20,1,19.18,0,0,1.4
2022,6,9,21,0.78,18.9,0,0,1.06
2022,6,9,22,1.23,18.12,0,0,1.68
2022,6,9,23,1.62,17.52,0,0,2.24
2022,6,10,0,1.74,17.1,0,0,2.43
2022,6,10,1,1.74,16.74,0,0,2.44
2022,6,10,2,1.98,16.43,0,0,2.86
2022,6,10,3,2.28,16.27,0,0,3.45
2022,6,10,4,2.56,16.28,13.48,16.72,4.13
2022,6,10,5,3.16,17.43,108.25,94.53,3.86
2022,6,10,6,2.39,18.35,260.73,246.6,2.58
2022,6,10,7,1.41,19.87,429.05,418.03,1.62
2022,6,10,8,1.86,20.9,586.45,535.33,2.19
2022,6,10,9,2.05,22.08,710.4,398.06,2.44
2022,6,10,10,2.27,23.27,787.05,384.75,2.68
2022,6,10,11,1.66,24.18,800,384.24,1.96
2022,6,10,12,0.91,24.64,781.5,318.48,0.96
2022,6,10,13,1.6,24.83,706.1,222.43,1.67
2022,6,10,14,1.97,24.83,579.62,171.65,2.1
2022,6,10,15,2.58,24.33,421.8,112.14,2.89
2022,6,10,16,2.76,23.51,255.77,88.62,3.58
2022,6,10,17,2.64,22.45,109.92,45.87,3.92
2022,6,10,18,2.37,20.98,17.33,13.41,4.08
2022,6,10,19,2.25,20.04,0,0,3.88
2022,6,10,20,2.38,19.48,0,0,4.13
2022,6,10,21,2.85,18.99,0,0,5.22
2022,6,10,22,3.48,18.47,0,0,6.02
2022,6,10,23,3.54,17.85,0,0,6.01
2022,6,11,0,3.32,17.53,0,0,5.65
2022,6,11,1,3.15,17.3,0,0,5.28
2022,6,11,2,3.18,17.03,0,0,5.25
2022,6,11,3,3.32,16.64,0,0,5.42
2022,6,11,4,3.17,16.72,11.92,15.32,5.23
2022,6,11,5,2.9,18.36,96,95.94,4.13
2022,6,11,6,2.49,19.3,238.35,215,2.77
2022,6,11,7,2.38,21.32,403.83,372.43,2.78
2022,6,11,8,3.51,22.58,564.35,542.33,4.26
2022,6,11,9,4.6,23.58,697.65,669.49,5.57
2022,6,11,10,4.82,24.48,785.67,768.52,5.85
2022,6,11,11,4.73,25.33,975.77,950.02,5.74
2022,6,11,12,4.27,25.98,908.8,876.56,5.14
2022,6,11,13,3.52,26.58,828.48,811.07,4.21
2022,6,11,14,2.85,27.01,697.67,676.12,3.41
2022,6,11,15,2.41,27.17,528.05,519.77,2.95
2022,6,11,16,2.18,27.1,337.45,328.88,2.97
2022,6,11,17,2.52,26.12,153.2,145.66,3.63
2022,6,11,18,2.95,23.35,22.83,23.81,5.21
2022,6,11,19,4.35,21.58,0,0,7.46
2022,6,11,20,6.11,20.56,0,0,8.98
2022,6,11,21,6.81,19.37,0,0,9.15
2022,6,11,22,6.16,18.54,0,0,8.42
2022,6,11,23,5.22,17.95,0,0,7.5
2022,6,12,0,4.41,17.4,0,0,6.74
2022,6,12,1,3.83,16.86,0,0,6.23
2022,6,12,2,3.58,16.35,0,0,6
2022,6,12,3,3.64,15.91,0,0,6.11
2022,6,12,4,3.63,15.82,8.35,12.62,5.91
2022,6,12,5,4.68,17.17,93.05,98.26,5.42
2022,6,12,6,4.58,18.93,257.95,264.75,5.1
2022,6,12,7,4.24,21.12,445.95,428.75,4.82
2022,6,12,8,3.58,22.89,613.55,603.18,4.27
2022,6,12,9,3.21,24.21,749.85,734.22,3.8
2022,6,12,10,2.73,25.34,836.42,686.92,3.22
2022,6,12,11,2.29,26.3,921.15,774.4,2.66
2022,6,12,12,2.03,26.84,888.85,666.88,2.27
2022,6,12,13,1.77,27,799.98,671.38,1.89
2022,6,12,14,1.78,26.84,660.8,530.48,1.83
2022,6,12,15,2.45,26.16,491.08,319.45,2.67
2022,6,12,16,3.12,25.09,305.75,188.93,3.86
2022,6,12,17,3.5,23.09,133.67,88.46,4.88
2022,6,12,18,3.98,21.05,20.45,16.62,5.52
2022,6,12,19,3.37,20.07,0,0,4.64
2022,6,12,20,2.29,19.58,0,0,3.21
2022,6,12,21,1.48,19.31,0,0,1.96
2022,6,12,22,1.86,18.98,0,0,2.57
2022,6,12,23,2.67,18.8,0,0,4.08
2022,6,13,0,3.21,18.73,0,0,5.08
2022,6,13,1,3.22,18.6,0,0,5.33
2022,6,13,2,3.45,18.4,0,0,5.77
2022,6,13,3,3.8,18.19,0,0,6.16
2022,6,13,4,4.11,18.09,11.38,12.73,6.26
2022,6,13,5,4.62,18.69,87.6,76.81,5.82
2022,6,13,6,5.03,19.56,212.35,193.58,6.1
2022,6,13,7,5.44,20.49,365.9,320.52,6.51
2022,6,13,8,5.26,21.26,519.9,448.98,6.27
2022,6,13,9,4.69,22,656.02,612.68,5.7
2022,6,13,10,3.88,22.94,752.27,583.05,4.92
2022,6,13,11,3.02,24.02,881.85,600.43,3.95
2022,6,13,12,2.52,25.15,856.55,593.78,3.34
2022,6,13,13,2.58,25.51,769.02,463.46,3.39
2022,6,13,14,2.97,25.55,632.5,420.59,3.86
2022,6,13,15,3.24,25.15,453.17,312.01,4.36
