Time,Pload+Pec,Hload+Hac,Cload,CGbuy,CGsell,CHsell,CHbuy,Rdg1,PGshort/sur,statoc,Bchg/dischg,Pdg1,Pdg2,Pchp1,Pchp2,Hhob,Hchp1,Hchp2,HGshort/sur,Hchg/dischg,Pevchg/dischg1,Pevchg/dischg2,Pevchg/dischg3,Pevchg/dischg4,Pevchg/dischg5
1,189.263,65,100,138,128,135,138,0,0,0.648,-70.7368,100,0,60,100,80,72,80,-167,0,0,0,0,0,0
2,192.263,62,100,139,129,135,138,0,0,0.994667,-54.7368,87,0,60,100,80,72,80,-170,0,0,0,0,0,0
3,173.211,60,80,143,133,135,138,0,0,0.996,-0.210517,22,0,60,100,80,72,80,-172,0,-8.57896,0,0,0,0
4,189.368,61,100,149,139,135,138,0,-70,1,-0.631583,100,0,60,100,80,72,80,-164,-7,0,0,0,0,0
5,216.316,62,120,150,140,135,138,0,-28,1,0,100,0,60,100,80,72,80,-170,0,0,-15.6842,0,0,0
6,237.105,67,135,152,142,135,138,0,-103,0.999261,0.10526,100,80,60,100,80,72,80,-165,0,0,0,0,0,0
7,292.895,75,150,155,145,135,138,0,-47,0.999261,0,100,80,60,100,80,72,80,-157,0,0.0438527,-0.149119,0,0,0
8,274.105,80,135,158,148,135,138,10,-76,0.998523,0.10526,100,80,60,100,80,72,80,-152,0,0,0,0,0,0
9,267.579,87,125,160,150,144,149,15,-88,0.99446,0.578944,100,80,60,100,80,72,80,-145,0,0,0,0,0,0
10,276.842,95,130,154,144,144,149,20,-80,0.99446,0,100,80,60,100,80,72,80,-167,30,0,0,-12.8444,9.68655,0
11,297.368,97,140,153,143,144,149,23,-66,0.99446,0,100,80,60,100,80,72,80,-135,0,0,0,0,0.368417,0
12,317.895,100,150,153,143,144,149,28,-50,0.99446,0,100,80,60,100,80,72,80,-132,0,0,0,0,0.0250355,-0.130302
13,297.895,97,150,152,142,144,149,33,-75,0.99446,0,100,80,60,100,80,72,80,-135,0,0,0,0,0,-0.105267
14,266.842,97,130,150,140,144,149,35,-28,0.99446,0,100,0,60,100,80,72,80,-135,0,0,0,0,0,-0.157898
15,251.316,90,120,149,139,144,149,34,-37,0.999359,-0.773595,100,0,60,100,80,72,80,-142,0,0,0,0,0,-4.91062
16,215.789,85,110,149,139,144,149,31,-75,0.999359,0,100,0,60,100,80,72,80,-147,0,0,0,0,0,-0.21053
17,184.737,92,90,154,144,144,149,28,-183,0.999359,0,100,80,60,100,80,72,80,-140,0,0,0,0,0,-0.263162
18,179.211,95,80,156,146,144,149,10,-171,0.997882,0.210523,100,80,60,100,80,72,80,-137,0,0,0,0,0,0
19,262.105,97,135,163,153,140,140,0,-78,0.997143,0.10526,100,80,60,100,80,72,80,-135,0,0,0,0,0,0
20,297.895,100,150,164,154,140,140,0,-84,0.703145,41.8947,100,80,60,100,80,72,80,-132,0,0,0,0,0,0
21,301.421,100,135,164,154,140,140,0,-138,0.00545362,99.421,100,80,60,100,80,72,80,-132,0,0,0,0,0,0
22,322.368,95,140,160,150,140,140,0,-18,0.00286823,0.368417,100,80,60,100,80,72,80,-137,0,0,0,0,0,0
23,265.789,90,110,150,140,140,140,0,0,0.00420159,-0.21053,100,6,60,100,80,72,80,-142,0,0,0,0,0,0
24,256.579,87,125,148,138,140,140,0,-4,0.000138828,0.578944,100,0,60,100,80,72,80,-145,0,0,0,0,0,0
