Time,Esh,Esur,Tsh,Tsurr,Hsh,Hel,Hload,cAC,CEC,pEB,pEC,pEL,RDG,Eload,tEB,tAC,tLoad
0,0,0,563.667,0,0,242,242,593.667,488.333,0,195.333,322.667,2250,1732,0,456.667,107
1,0,0,490.359,0,0,176,176,467.167,645.833,0,258.333,234.667,2209,1716,0,359.359,131
2,0,0,1009.08,0,29.75,125.25,155,1122,0,0,0,167,2085,1918,0,863.077,146
3,0,0,1062.69,0,99.5,58.5,158,1180,0,0,0,78,1941,1863,0,907.692,155
4,0,0,1071.46,0,102.75,50.25,153,1207,0,0,0,67,2018,1951,0,928.462,143
5,516,0,171,0,232,0,232,-2.27374e-13,1235,0,494,0,1993,2015,0,-1.74903e-13,171
6,0,0,1285.54,0,134.25,210.75,345,1302,0,0,0,281,2266,1985,0,1001.54,284
7,0,0,1307.38,0,136.25,237.75,374,1268,0,0,0,317,2405,2088,0,975.385,332
8,0,0,1370.31,0,0,345,345,1309.5,77.5,0,31,460,2750,2259,0,1007.31,363
9,0,0,1252.21,0,0,347,347,1148.17,485.833,0,194.333,462.667,2837,2180,0,883.205,369
10,0,0,59.52,0,0,208,208,0,1662,353.867,664.8,277.333,3589,2293,318.48,0,378
11,0,0,15.18,0,0,197,197,0,1723,433.133,689.2,262.667,3821,2436,389.82,0,405
12,0,0,356.18,0,0,174,174,0,1793,149.8,717.2,232,3306,2207,134.82,0,491
13,0,198.956,0,0,0,163,163,0,1704,471.111,681.6,217.333,3749,2180,424,0,424
14,0,0,826.231,0,0,195,195,551.5,1122.5,0,449,260,2822,2113,0,424.231,402
15,0,0,959.18,0,0,268,268,724.333,921.667,0,368.667,357.333,2665,1939,0,557.18,402
16,0,0,1650.38,0,22.25,324.75,347,1619,0,0,0,433,2436,2003,0,1245.38,405
17,0,0,1612,0,128.75,239.25,368,1573,0,0,0,319,2353,2034,0,1210,402
18,0,0,1646.92,0,177.75,254.25,432,1634,0,0,0,339,2348,2009,0,1256.92,390
19,0,0,1497.92,0,273,195,468,1491,0,0,0,260,2394,2134,0,1146.92,351
20,0,0,1371.69,0,115.25,363.75,479,1375,0,0,0,485,2549,2064,0,1057.69,314
21,0,0,1439.85,0,219,252,471,1305,0,0,0,336,2312,1976,0,1003.85,436
22,0,0,1208.46,0,0,345,345,1194,10,0,4,460,2333,1869,0,918.462,290
23,0,186.667,1148.46,0,0,334,334,1207,0,0,0,445.333,2364,1732,0,928.462,220
