Time,Pload+Pec,Hload+Hac,Cload,CGbuy,CGsell,CHsell,CHbuy,Rdg,PGshort/sur,statoc,Bchg/dischg,Pdg,Pchp,Hhob,Hchp,HGshort/sur,Hchg/dischg,MgSend/rec,Pevchg/dischg1,Pevchg/dischg2,Pevchg/dischg3,Pevchg/dischg4,Pevchg/dischg5
1,189.263,65,100,138,128,135,138,0,565.737,1,-126.316,100,140,80,136,0,0,-490.158,0,0,0,0,0
2,192.263,62,100,139,129,135,138,0,0,1,-2.31913e-06,100,140,80,136,-211,0,-47.7368,0,0,0,0,0
3,173.211,60,80,143,133,135,138,0,0,1,0,124.165,140,80,136,-228,0,-82.4433,-8.51111,0,0,0,0
4,190.263,60,100,149,139,135,138,0,0,1,0,180,140,80,136,0,0,-129.737,0,0,0,0,0
5,216.316,62,120,150,140,135,138,0,0,1,0,180,140,80,136,0,0,-87.8509,0,-15.8333,0,0,0
6,237.105,67,135,152,142,135,138,0,0,1,0,180,140,80,136,0,0,-82.8947,0,0,0,0,0
7,150,234.706,150,155,145,135,138,0,0,1,0,180,140,80,136,0,0,-170,0,0,0,0,0
8,132,238.824,135,158,148,135,138,10,0,1,0,180,140,80,136,314.706,0,-198,0,0,0,0,0
9,267.579,87,125,160,150,144,149,15,0,0.252111,106.574,180,140,80,136,0,0,-173.995,0,0,0,0,0
10,276.842,95,130,154,144,144,149,20,381.82,0.252111,0,180,140,80,136,0,0,-442.213,0,0,-12.8444,10.08,0
11,297.368,97,140,153,143,144,149,23,463.105,0.252111,0,180,140,80,136,0,6.75001,-508.737,0,0,0,0,0
12,317.895,100,150,153,143,144,149,28,0,0.252111,0,180,140,80,136,0,0,-30.1053,0,0,0,0,0
13,297.895,97,150,152,142,144,149,33,0,0.252111,0,180,140,80,136,0,0,-55.1053,0,0,0,0,0
14,266.842,97,130,150,140,144,149,35,0,0.252111,0,180,140,80,136,0,0,-88.1579,0,0,0,0,0
15,251.316,90,120,149,139,144,149,34,191.947,0.252111,0,180,140,80,136,-18,0,-294.632,0,0,0,0,0
16,215.789,85,110,149,139,144,149,31,0,0.252111,0,180,140,80,136,0,0,-129.579,0,0,0,0,-5.63158
17,184.737,92,90,154,144,144,149,28,0,1,-118.088,180,140,80,136,0,0,-45.0292,0,0,0,0,-0.146199
18,179.211,95,80,156,146,144,149,10,-72.3684,1,0,180,140,80,136,0,17,-78.4211,0,0,0,0,0
19,240,121.706,135,163,153,140,140,0,0,1,0,180,140,80,136,-94.2941,0,-80,0,0,0,0,0
20,140,276.471,150,164,154,140,140,0,0,1,0,180,140,80,136,60.4706,0,-180,0,0,0,0,0
21,162,255.824,135,164,154,140,140,0,0,0,142.5,180,140,80,136,39.8235,0,-300.5,0,0,0,0,0
22,175,259.706,140,160,150,140,140,0,0,0,0,180,140,80,136,43.7059,0,-145,0,0,0,0,0
23,265.789,90,110,150,140,140,140,0,437.368,0,0,180,140,80,136,-126,0,-491.579,0,0,0,0,0
24,256.579,87,125,148,138,140,140,0,0,0,0,180,140,80,136,-129,0,-63.4211,0,0,0,0,0
