Time,Pload+Pec,Hload+Hac,Cload,CGbuy,CGsell,CHsell,CHbuy,Rdg,PGshort/sur,statoc,Bchg/dischg,Pdg,Pchp,Hhob,Hchp,HGshort/sur,Hchg/dischg,MgSend/rec,Pevchg/dischg1,Pevchg/dischg2,Pevchg/dischg3,Pevchg/dischg4,Pevchg/dischg5
1,443.263,260,100,138,128,135,138,0,0,1,-126.316,100,140,80,136,-193,0,329.579,0,0,0,0,0
2,455.263,250,100,139,129,135,138,0,207.789,1,-2.31913e-06,100,140,80,136,0,0,7.47368,0,0,0,0,0
3,442.211,240,80,143,133,135,138,0,0,1,0,180,140,80,136,0,0,130.722,-8.51111,0,0,0,0
4,447.263,240,100,149,139,135,138,0,0,1,0,180,140,80,136,0,0,127.263,0,0,0,0,0
5,488.316,250,120,150,140,135,138,0,0,1,0,180,140,80,136,-211,0,184.149,0,-15.8333,0,0,0
6,390.789,416.765,135,152,142,135,138,0,0,1,0,180,140,80,136,-29.2353,0,70.7895,0,0,0,0,0
7,540,476.471,150,155,145,135,138,0,0,1,0,180,140,80,136,0,0,220,0,0,0,0,0
8,594,405.059,135,158,148,135,138,10,0,1,0,180,140,80,136,0,0,264,0,0,0,0,0
9,677.579,350,125,160,150,144,149,15,0,0.242105,108,180,140,80,136,-36,0,234.579,0,0,0,0,0
10,698.842,380,130,154,144,144,149,20,0,0.242105,0,180,140,80,136,0,0,361.607,0,0,-12.8444,10.08,0
11,747.368,390,140,153,143,144,149,23,0,0.242105,0,180,140,80,136,0,0,404.368,0,0,0,0,0
12,797.895,400,150,153,143,144,149,28,0,0.242105,0,180,140,80,136,0,23.75,449.895,0,0,0,0,0
13,717.895,390,150,152,142,144,149,33,0,0.242105,0,180,140,80,136,34,0,364.895,0,0,0,0,0
14,656.842,390,130,150,140,144,149,35,255.526,0.242105,0,180,140,80,136,34,0,46.3158,0,0,0,0,0
15,626.316,360,120,149,139,144,149,34,0,0.242105,0,180,140,80,136,0,0,272.316,0,0,0,0,0
16,515.789,340,110,149,139,144,149,31,0,0.242105,0,180,140,80,136,0,0,164.789,0,0,0,0,0
17,454.737,370,90,154,144,144,149,28,0,0.242105,0,180,140,80,136,-1.00001,0,112.515,0,0,0,0,-5.77778
18,464.211,380,80,156,146,144,149,10,0,0.242105,0,180,140,80,136,0,0,134.211,0,0,0,0,0
19,480,548.824,135,163,153,140,140,0,0,0.242105,0,180,140,80,136,332.824,0,160,0,0,0,0,0
20,560,576.471,150,164,154,140,140,0,0,0.242105,0,180,140,80,136,360.471,0,240,0,0,0,0,0
21,650,548.824,135,164,154,140,140,0,0,0,34.5,180,140,80,136,332.824,0,295.5,0,0,0,0,0
22,700,544.706,140,160,150,140,140,0,265,0,0,180,140,80,136,328.706,0,115,0,0,0,0,0
23,715.789,360,110,150,140,140,140,0,0,0,0,180,140,80,136,144,0,395.789,0,0,0,0,0
24,631.579,350,125,148,138,140,140,0,309.737,0,0,180,140,80,136,134,0,1.84211,0,0,0,0,0
